id,company,region,industry,products,metric,summary,url,created_at
0668290a-96cd-4596-ac79-f3e26f3b7a4b,Figma,americas,SaaS design,"[""billing"",""payments""]",,Figma used Stripe to complete rollout of a new billing model.,https://stripe.com/customers/figma,2026-07-25 22:42:26.701882+00
078400b4-c2ee-4aa1-9b56-5398972e5f86,Squarespace,americas,website and commerce platform,"[""payments"",""connect""]",,Squarespace uses Stripe to build ecommerce and embedded finance capabilities for its users.,https://stripe.com/customers/squarespace,2026-07-25 22:42:26.701882+00
0a296aec-91cb-4def-8e45-18d63edfbe1f,Castlery,apac,retail,"[""payments"",""terminal""]",,Castlery uses Stripe for in-person and online payments while expanding internationally.,https://stripe.com/customers/castlery,2026-07-25 22:42:26.701882+00
0b1b4e12-52dd-43fe-b67a-d06c068c2835,Slack,americas,SaaS,"[""payments""]",99% authorization rate,Slack uses Stripe to process payments and achieve high authorization rates.,https://stripe.com/customers/slack,2026-07-25 22:42:26.701882+00
0f75400c-8d7f-4e8f-8153-dfd228cac60f,Noom,americas,healthtech,"[""payments""]",1 month expansion,Noom used Stripe to support fast international expansion and payment acceptance.,https://stripe.com/customers/noom,2026-07-25 22:42:26.701882+00
12a61be0-0d60-4e63-87e1-8c748b28dd9a,Jotform,americas,SaaS forms,"[""payments"",""adaptive-pricing""]",6x growth,Jotform uses Stripe to turn forms into payment-powered workflows and support localized pricing.,https://stripe.com/customers/jotform,2026-07-25 22:42:26.701882+00
191b72a4-c4ca-4382-9859-cb5c0074fb8d,Wonderbly,uk-ireland,ecommerce publishing,"[""payments""]",3.2% conversion increase in the US,Wonderbly uses Stripe Checkout to improve checkout efficiency and conversion.,https://stripe.com/customers/wonderbly,2026-07-25 22:42:26.701882+00
1a59741a-119f-4cc0-8865-6cc042dab02c,Xero,apac,SaaS accounting,"[""payments"",""connect""]",14 days faster for Xero customers to get paid,Xero uses Stripe to let customers accept card payments on invoices and improve cash flow.,https://stripe.com/customers/xero,2026-07-25 22:42:26.701882+00
1ee267b3-41ff-4ca1-aa9d-8d63d8a9ddc8,Zapier,americas,SaaS automation,"[""payments"",""radar""]",4% authorization-rate increase,Zapier uses Stripe payments and fraud tools to improve authorization and recover revenue.,https://stripe.com/customers/zapier,2026-07-25 22:42:26.701882+00
1ff47532-f2cc-476b-b3e9-9207dadb0700,Jobber,americas,field services SaaS,"[""connect"",""payments"",""capital""]",,Jobber uses Stripe to add financial products such as Capital and Instant Payouts for home service businesses.,https://stripe.com/customers/jobber,2026-07-25 22:42:26.701882+00
1ffbbc59-d1ff-47df-8790-bb3b4195178a,SQUIRE,americas,vertical SaaS,"[""terminal"",""payments""]",2-week integration,SQUIRE uses Stripe Terminal and Tap to Pay to help barbers accept contactless payments quickly.,https://stripe.com/customers/squire,2026-07-25 22:42:26.701882+00
246ae61a-95da-48d1-bdea-f0e0b8c1af13,Browserbase,americas,AI developer tools,"[""billing""]",17% increase in new signups within 1 month,Browserbase uses Stripe Billing for usage-based pricing for AI web browsing infrastructure.,https://stripe.com/customers/browserbase,2026-07-25 22:42:26.701882+00
2632b86e-329c-4d6f-aaff-973310077328,INFORICH,apac,sharing economy,"[""payments""]",20% reduction in payment failure rate,INFORICH uses Stripe Payments to support ChargeSPOT payments across multiple countries.,https://stripe.com/jp/customers/inforich,2026-07-25 22:42:26.701882+00
